pid,country,name_2,cellarea,coral_prop,forest_prop,beach,mangrove,wildlife,ruins,roads,develop,pa_min_dist
0,Guatemala,MPA Río Sarstun,990519.0760554299,0,0.018148345962761086,0,0,0,0,0,0,52733.792985790984
1,Guatemala,MPA Río Sarstun,983546.5993151646,0,0.011880051109795247,0,0,0,0,1,0,49936.45761760524
2,Guatemala,MPA Río Sarstun,10398767.10665404,0,0.038636303528565064,0,0,0,0,1,1,47927.394995364324
3,Guatemala,MPA Río Sarstun,11670730.806344314,0,0.07478096685301679,0,0,0,0,0,0,44269.01479073575
4,Guatemala,MPA Río Sarstun,4435090.172495529,0,0.2279921878449681,0,0,0,0,0,0,42942.75034541089
5,Guatemala,MPA Río Sarstun,10439553.924737748,0,0.10564100366070153,0,0,0,0,0,0,40485.23291874553
6,Guatemala,MPA Río Sarstun,16592637.4206765,0,0.137536248946986,0,0,0,0,0,1,37719.62151876749
7,Guatemala,MPA Río Sarstun,13207848.955789585,0,0.3310706250482447,0,0,0,0,0,0,35104.99996912339
8,Guatemala,MPA Río Sarstun,13087279.98810886,0,0.4657772683430329,0,0,0,0,0,0,35849.568941651414
9,Guatemala,MPA Río Sarstun,21650635.09461072,0,0.5269013616738922,0,0,0,0,0,1,32737.132553536456
10,Guatemala,MPA Río Sarstun,17348780.455358606,0,0.48228524683241736,0,0,0,0,0,1,30104.999969124117
11,Guatemala,MPA Río Sarstun,14315854.516765967,0,0.8661125396663009,0,1,0,0,0,0,30970.011198108714
12,Guatemala,MPA Río Sarstun,12939825.486374643,0,0.29896045188295955,0,0,0,0,0,1,27750.21058115033
13,Guatemala,MPA Río Sarstun,21650635.0946106,0,0.239662902690151,0,1,0,0,0,1,27760.941052792743
14,Guatemala,MPA Río Sarstun,2692516.798148014,0,0.23133679316173167,0,0,0,0,0,0,26107.516960137087
15,Guatemala,MPA Río Sarstun,21650635.09461102,0,0.40393556957823046,0,0,0,0,0,1,25104.99996912427
16,Guatemala,MPA Río Sarstun,9745027.895827841,0,0.7905299100647958,0,1,1,0,0,0,26136.021003966514
17,Guatemala,MPA Río Sarstun,21650635.094611198,0,0.5324227831285471,0,0,0,0,0,0,22782.102352657395
18,Guatemala,MPA Río Sarstun,21650635.0946106,0,0.5554217867818345,0,1,1,0,0,1,22795.171603772986
19,Guatemala,MPA Río Sarstun,5634687.517463064,0,0.23416722913797855,0,0,0,0,0,1,21722.262947645035
20,Guatemala,MPA Río Sarstun,21650635.094611138,0,0.5080953171703941,0,0,0,0,0,1,20104.999969123644
21,Guatemala,MPA Río Sarstun,4124468.133524161,0,0.9098261711973225,0,1,1,0,0,0,21507.741379970226
22,Guatemala,MPA Río Sarstun,19087629.4468056,0,0.35180065113157566,0,0,0,0,0,0,17831.83075053496
23,Guatemala,MPA Río Sarstun,21596239.233967572,0,0.8726674474171632,0,1,1,0,0,1,17848.52511425342
24,Guatemala,MPA Río Sarstun,21110857.39850425,0,0.28819639222536386,0,0,0,0,0,1,15104.99996912375
25,Guatemala,MPA Río Sarstun,7077597.284261376,0,0.3936821683562186,0,1,1,0,0,1,16762.803898432743
26,Guatemala,MPA Río Sarstun,2559021.3211127874,0,0.3677415270988746,0,0,0,0,0,0,14568.231050931392
27,Guatemala,MPA Río Sarstun,21629953.61930254,0,0.4993145589384425,1,1,1,0,0,1,12942.945919028023
28,Guatemala,MPA Río Sarstun,15797985.258514903,0,0.39734927443077434,0,0,0,0,0,1,10104.9999691233
29,Guatemala,MPA Río Sarstun,1338783.2280721534,0,0,0,0,1,0,0,0,13104.874794522455
30,Guatemala,MPA Río Sarstun,1851515.5286058374,0,0.9174963457982191,0,0,0,0,0,1,8116.291550534449
31,Guatemala,MPA Río Sarstun,21134523.947759807,0,0.6631003453858652,1,1,1,0,0,0,8152.904351927832
32,Mexico,Reserva Estatal de Dzilam,528587.6717604809,0,0,0,0,1,0,0,0,1194.1921249750412
33,Guatemala,MPA Río Sarstun,21650635.094611287,0,0.5987628694785967,0,0,0,0,0,1,5104.999969123671
34,Guatemala,MPA Río Sarstun,2549854.675007671,0,0.06626929004265493,0,0,1,0,0,0,9178.317655760804
35,Mexico,Reserva Estatal de Dzilam,8792061.535151482,0,0.008894026752824049,1,1,1,0,1,0,300.7794474616571
36,Guatemala,MPA Río Sarstun,6154718.529961711,0,0.8242305480942347,0,0,0,0,0,1,4640.47479458206
37,Guatemala,MPA Río Sarstun,17869315.930323005,0,0.6276347079778816,1,0,1,0,0,0,3926.811643105004
