pid,smud_prop,Country,MPA,MPA_short,AvgExp,socmed,ud_to_vis,est_vis,est_exp,corals,mangroves,beach,temp,dayshot,vis_log,protected,prop_land,wildlife,C3P,air_min_dist,ports_min_dist,pa_min_dist,ruins,sargassum,roads_min_dist,prop_dev,forest,precip
0,0,Honduras,NP Cuyamel Omoa,Cuyamel Omoa,60,smud_prop,8046969.5421636505,0,0,0,0,0,25.54673194885254,7.665517330169678,0,1,1,0,0.0011249999515712261,42062.635016806955,33278.01098666398,31983.92568585132,0,0,0,0.0024796282122725253,0,2448.504150390625
1,0,Honduras,NP Cuyamel Omoa,Cuyamel Omoa,60,smud_prop,8046969.5421636505,0,0,0,0,0,25.54673194885254,7.665517330169678,0,1,1,0,9.640000062063336e-4,33457.919107125424,36295.49908591738,33457.919107125424,0,0,1000,0,0,2448.504150390625
2,5.251786737e-6,Honduras,NP Cuyamel Omoa,Cuyamel Omoa,60,smud_prop,8046969.5421636505,42.260967914578025,2536,0,0,0,25.54673194885254,7.665517330169678,3.767250794629165,1,1,0,0.0011249999515712261,44367.24845571155,29802.3711572164,28684.109561336198,0,0,1000,0.022397915712233,0,2448.504150390625
3,1.3919864035e-5,Honduras,NP Cuyamel Omoa,Cuyamel Omoa,60,smud_prop,8046969.5421636505,112.01272192070421,6721,0,0,0,25.54673194885254,7.665517330169678,4.727500395744372,1,1,0,9.640000062063336e-4,40091.67075113152,33262.453323477035,31488.44809561166,0,0,0,0.021272401421729068,0,2448.504150390625
4,1.9678878191e-5,Honduras,NP Cuyamel Omoa,Cuyamel Omoa,60,smud_prop,8046969.5421636505,158.3553334269255,9501,0,0,0,25.54673194885254,7.665517330169678,5.071136510192953,1,1,0,9.640000062063336e-4,35513.548923954455,35420.79522502653,35420.79522502653,0,0,0,0.041023431238176214,0,2448.504150390625
5,2.9636541544e-5,Honduras,NP Cuyamel Omoa,Cuyamel Omoa,60,smud_prop,8046969.5421636505,238.4843471396357,14309,0,0,0,25.54673194885254,7.665517330169678,5.47848805830444,1,1,0,9.640000062063336e-4,31693.77494830632,31335.56385963304,31335.56385963304,0,0,0,0.001686575257550938,0,2448.504150390625
6,9.097939317e-6,Honduras,NP Cuyamel Omoa,Cuyamel Omoa,60,smud_prop,8046969.5421636505,73.21084058035217,4393,0,0,0,25.54673194885254,7.665517330169678,4.30691023896751,1,1,0,8.980000275187194e-4,27546.126171074975,27553.627536660108,27546.126171074975,0,0,1000,0,0,2448.504150390625
7,0,Honduras,Zona de Interconexion,Zona de Interconexion,60,smud_prop,8046969.5421636505,0,0,0,0,0,25.718975067138672,5.72468090057373,0,1,1,0,7.510000141337514e-4,26890.635800577784,24316.71099126111,24316.71099126111,0,0,3154.847788487387,0,0,2350.91259765625
8,0,Honduras,NP Cuyamel Omoa,Cuyamel Omoa,60,smud_prop,8046969.5421636505,0,0,0,0,0,25.718975067138672,5.72468090057373,0,1,1,0,8.980000275187194e-4,24996.511154800635,24325.061112544816,24325.061112544816,0,0,1000,0,0,2350.91259765625
9,0,Honduras,Zona de Interconexion,Zona de Interconexion,60,smud_prop,8046969.5421636505,0,0,0,0,0,25.718975067138672,5.72468090057373,0,1,1,0,7.510000141337514e-4,26128.623167566053,21823.22057350714,21823.22057350714,0,0,5734.6185320513205,0,0,2350.91259765625
